,text,CaseFolding,TextClean,Tokenizing,Normalization,Stopwords
226,"Hari ini harusnya mulai yang data analyst dan AI, tapi kok belum ada info yaa","hari ini harusnya mulai yang data analyst dan ai, tapi kok belum ada info yaa",hari ini harusnya mulai yang data analyst dan ai tapi kok belum ada info yaa,"['hari', 'ini', 'harusnya', 'mulai', 'yang', 'data', 'analyst', 'dan', 'ai', 'tapi', 'kok', 'belum', 'ada', 'info', 'yaa']","['hari', 'ini', 'harusnya', 'mulai', 'yang', 'data', 'analyst', 'dan', 'ai', 'tapi', 'kok', 'belum', 'ada', 'info', 'iya']","['data', 'analyst', 'info', 'iya']"
227,@aidaaa.52 akuuu,@aidaaa.52 akuuu,akuuu,['akuuu'],['aku'],[]
228,@maribelajar_id  mau nanya untuk lihat jadwal belajar dan jam nya gimana ya?.. untuk cycle batch 3,@maribelajar_id  mau nanya untuk lihat jadwal belajar dan jam nya gimana ya?.. untuk cycle batch 3,mau nanya untuk lihat jadwal belajar dan jam nya gimana ya untuk cycle batch,"['mau', 'nanya', 'untuk', 'lihat', 'jadwal', 'belajar', 'dan', 'jam', 'nya', 'gimana', 'ya', 'untuk', 'cycle', 'batch']","['mau', 'bertanya', 'untuk', 'lihat', 'jadwal', 'belajar', 'dan', 'jam', 'nya', 'bagaimana', 'ya', 'untuk', 'cycle', 'batch']","['lihat', 'jadwal', 'belajar', 'jam', 'cycle', 'batch']"
229,"Halo min, apakah sudah ada info terkait pelaksanaan program studi independen jalur data analysts dan AI karena hari ini saya belum mendapat kiriman email terkait pelaksanaan program","halo min, apakah sudah ada info terkait pelaksanaan program studi independen jalur data analysts dan ai karena hari ini saya belum mendapat kiriman email terkait pelaksanaan program",halo min apakah sudah ada info terkait pelaksanaan program studi independen jalur data analysts dan ai karena hari ini saya belum mendapat kiriman email terkait pelaksanaan program,"['halo', 'min', 'apakah', 'sudah', 'ada', 'info', 'terkait', 'pelaksanaan', 'program', 'studi', 'independen', 'jalur', 'data', 'analysts', 'dan', 'ai', 'karena', 'hari', 'ini', 'saya', 'belum', 'mendapat', 'kiriman', 'email', 'terkait', 'pelaksanaan', 'program']","['halo', 'min', 'apakah', 'sudah', 'ada', 'info', 'terkait', 'pelaksanaan', 'program', 'studi', 'independen', 'jalur', 'data', 'analysts', 'dan', 'ai', 'karena', 'hari', 'ini', 'saya', 'belum', 'mendapat', 'kiriman', 'email', 'terkait', 'pelaksanaan', 'program']","['halo', 'min', 'info', 'terkait', 'pelaksanaan', 'program', 'studi', 'independen', 'jalur', 'data', 'analysts', 'kiriman', 'email', 'terkait', 'pelaksanaan', 'program']"
230,kak apakah tidak ada Twibbon Selebrasi MBKM CYCLE 3 SIB yah? spt mitra lain🙏🏻,kak apakah tidak ada twibbon selebrasi mbkm cycle 3 sib yah? spt mitra lain🙏🏻,kak apakah tidak ada twibbon selebrasi mbkm cycle sib yah spt mitra lain,"['kak', 'apakah', 'tidak', 'ada', 'twibbon', 'selebrasi', 'mbkm', 'cycle', 'sib', 'yah', 'spt', 'mitra', 'lain']","['kakak', 'apakah', 'tidak', 'ada', 'twibbon', 'selebrasi', 'mbkm', 'cycle', 'sib', 'ya', 'seperti', 'mitra', 'lain']","['kakak', 'twibbon', 'selebrasi', 'mbkm', 'cycle', 'sib', 'mitra']"
231,Untuk pengumuman cycle batch 3 program cloud administrator apakah sudah ada pengumuman? Karena sampai detik ini saya tidak mendapatkan email apapun. Mohon informasinya @maribelajar_id 🙏,untuk pengumuman cycle batch 3 program cloud administrator apakah sudah ada pengumuman? karena sampai detik ini saya tidak mendapatkan email apapun. mohon informasinya @maribelajar_id 🙏,untuk pengumuman cycle batch program cloud administrator apakah sudah ada pengumuman karena sampai detik ini saya tidak mendapatkan email apapun mohon informasinya,"['untuk', 'pengumuman', 'cycle', 'batch', 'program', 'cloud', 'administrator', 'apakah', 'sudah', 'ada', 'pengumuman', 'karena', 'sampai', 'detik', 'ini', 'saya', 'tidak', 'mendapatkan', 'email', 'apapun', 'mohon', 'informasinya']","['untuk', 'pengumuman', 'cycle', 'batch', 'program', 'cloud', 'administrator', 'apakah', 'sudah', 'ada', 'pengumuman', 'karena', 'sampai', 'detik', 'ini', 'saya', 'tidak', 'mendapatkan', 'email', 'apapun', 'mohon', 'informasinya']","['pengumuman', 'cycle', 'batch', 'program', 'cloud', 'administrator', 'pengumuman', 'detik', 'email', 'apapun', 'mohon', 'informasinya']"
232,semoga lolos🙏🙏😭,semoga lolos🙏🙏😭,semoga lolos,"['semoga', 'lolos']","['semoga', 'lolos']","['semoga', 'lolos']"
233,setelah pretest apa ada tes yg lain min?,setelah pretest apa ada tes yg lain min?,setelah pretest apa ada tes yg lain min,"['setelah', 'pretest', 'apa', 'ada', 'tes', 'yg', 'lain', 'min']","['setelah', 'pretest', 'apa', 'ada', 'tes', 'yang', 'lain', 'min']","['pretest', 'tes', 'min']"
234,Sudah ngerjain pre-test. Info selanjutnya kira-kira kapan ya min??,sudah ngerjain pre-test. info selanjutnya kira-kira kapan ya min??,sudah ngerjain pretest info selanjutnya kirakira kapan ya min,"['sudah', 'ngerjain', 'pretest', 'info', 'selanjutnya', 'kirakira', 'kapan', 'ya', 'min']","['sudah', 'ngerjain', 'pretest', 'info', 'selanjutnya', 'kirakira', 'kapan', 'ya', 'min']","['ngerjain', 'pretest', 'info', 'kirakira', 'min']"
235,Apakah untuk pengumuman diterima/tidaknya setelah mengerjakan pre-test akan diberitahukan melalui email kak @maribelajar_id ??🙏,apakah untuk pengumuman diterima/tidaknya setelah mengerjakan pre-test akan diberitahukan melalui email kak @maribelajar_id ??🙏,apakah untuk pengumuman diterimatidaknya setelah mengerjakan pretest akan diberitahukan melalui email kak,"['apakah', 'untuk', 'pengumuman', 'diterimatidaknya', 'setelah', 'mengerjakan', 'pretest', 'akan', 'diberitahukan', 'melalui', 'email', 'kak']","['apakah', 'untuk', 'pengumuman', 'diterimatidaknya', 'setelah', 'mengerjakan', 'pretest', 'akan', 'diberitahukan', 'melalui', 'email', 'kakak']","['pengumuman', 'diterimatidaknya', 'pretest', 'diberitahukan', 'email', 'kakak']"
236,Setelah pretest pengumuman selanjutnya bagaimana ya kak?,setelah pretest pengumuman selanjutnya bagaimana ya kak?,setelah pretest pengumuman selanjutnya bagaimana ya kak,"['setelah', 'pretest', 'pengumuman', 'selanjutnya', 'bagaimana', 'ya', 'kak']","['setelah', 'pretest', 'pengumuman', 'selanjutnya', 'bagaimana', 'ya', 'kakak']","['pretest', 'pengumuman', 'kakak']"
237,"@urdearestblue mohon maaf saya ingin bertanya, karena kakaknya sepertinya sudah mengikuti pretest 1 minggu lalu. Untuk pengumuman lolos tidaknya apakah kakak tau akan bagaimana?","@urdearestblue mohon maaf saya ingin bertanya, karena kakaknya sepertinya sudah mengikuti pretest 1 minggu lalu. untuk pengumuman lolos tidaknya apakah kakak tau akan bagaimana?",mohon maaf saya ingin bertanya karena kakaknya sepertinya sudah mengikuti pretest minggu lalu untuk pengumuman lolos tidaknya apakah kakak tau akan bagaimana,"['mohon', 'maaf', 'saya', 'ingin', 'bertanya', 'karena', 'kakaknya', 'sepertinya', 'sudah', 'mengikuti', 'pretest', 'minggu', 'lalu', 'untuk', 'pengumuman', 'lolos', 'tidaknya', 'apakah', 'kakak', 'tau', 'akan', 'bagaimana']","['mohon', 'maaf', 'saya', 'ingin', 'bertanya', 'karena', 'kakaknya', 'sepertinya', 'sudah', 'mengikuti', 'pretest', 'minggu', 'lalu', 'untuk', 'pengumuman', 'lolos', 'tidaknya', 'apakah', 'kakak', 'tau', 'akan', 'bagaimana']","['mohon', 'maaf', 'kakaknya', 'mengikuti', 'pretest', 'minggu', 'pengumuman', 'lolos', 'tidaknya', 'kakak']"
238,Semoga saya lolos🙏🥺,semoga saya lolos🙏🥺,semoga saya lolos,"['semoga', 'saya', 'lolos']","['semoga', 'saya', 'lolos']","['semoga', 'lolos']"
239,ka udh ikutan pretestnya ?,ka udh ikutan pretestnya ?,ka udh ikutan pretestnya,"['ka', 'udh', 'ikutan', 'pretestnya']","['kakak', 'sudah', 'mengikuti', 'pretestnya']","['kakak', 'mengikuti', 'pretestnya']"
240,@wdyayptr ia kak sudah cuman belum ada info untuk tahap selanjutnya🥺,@wdyayptr ia kak sudah cuman belum ada info untuk tahap selanjutnya🥺,ia kak sudah cuman belum ada info untuk tahap selanjutnya,"['ia', 'kak', 'sudah', 'cuman', 'belum', 'ada', 'info', 'untuk', 'tahap', 'selanjutnya']","['ia', 'kakak', 'sudah', 'hanya', 'belum', 'ada', 'info', 'untuk', 'tahap', 'selanjutnya']","['kakak', 'info', 'tahap']"
241,Daftar pathway apa ka?,daftar pathway apa ka?,daftar pathway apa ka,"['daftar', 'pathway', 'apa', 'ka']","['daftar', 'pathway', 'apa', 'kakak']","['daftar', 'pathway', 'kakak']"
242,"Kak apakah nanti ada kepastian info , untuk yg keterima atau tidak setelah ikut pretest","kak apakah nanti ada kepastian info , untuk yg keterima atau tidak setelah ikut pretest",kak apakah nanti ada kepastian info untuk yg keterima atau tidak setelah ikut pretest,"['kak', 'apakah', 'nanti', 'ada', 'kepastian', 'info', 'untuk', 'yg', 'keterima', 'atau', 'tidak', 'setelah', 'ikut', 'pretest']","['kakak', 'apakah', 'nanti', 'ada', 'kepastian', 'info', 'untuk', 'yang', 'keterima', 'atau', 'tidak', 'setelah', 'ikut', 'pretest']","['kakak', 'kepastian', 'info', 'keterima', 'pretest']"
243,@gabaguss microsoft Batch kak😢,@gabaguss microsoft batch kak😢,microsoft batch kak,"['microsoft', 'batch', 'kak']","['microsoft', 'batch', 'kakak']","['microsoft', 'batch', 'kakak']"
244,Belum pengumuman kah?,belum pengumuman kah?,belum pengumuman kah,"['belum', 'pengumuman', 'kah']","['belum', 'pengumuman', 'kah']","['pengumuman', 'kah']"
245,@gabaguss belum kak masih menunggu😢,@gabaguss belum kak masih menunggu😢,belum kak masih menunggu,"['belum', 'kak', 'masih', 'menunggu']","['belum', 'kakak', 'masih', 'menunggu']","['kakak', 'menunggu']"
246,semoga lolos,semoga lolos,semoga lolos,"['semoga', 'lolos']","['semoga', 'lolos']","['semoga', 'lolos']"
247,Halo selamat sore bapak/ibu. Perkenalkan saya Salsabilla Putri Arista Member Mari Belajar bersama Microsoft MSIB Angkatan 1 Kampus Merdeka. Izin bertanya terkait sertifikat MariBelajar Angkatan 1 tidak bisa diakses. Lalu Bagaiamana cara untuk download sertifikatnya bapak/ibu? Terimakasih 🙏,halo selamat sore bapak/ibu. perkenalkan saya salsabilla putri arista member mari belajar bersama microsoft msib angkatan 1 kampus merdeka. izin bertanya terkait sertifikat maribelajar angkatan 1 tidak bisa diakses. lalu bagaiamana cara untuk download sertifikatnya bapak/ibu? terimakasih 🙏,halo selamat sore bapakibu perkenalkan saya salsabilla putri arista member mari belajar bersama microsoft msib angkatan kampus merdeka izin bertanya terkait sertifikat maribelajar angkatan tidak bisa diakses lalu bagaiamana cara untuk download sertifikatnya bapakibu terimakasih,"['halo', 'selamat', 'sore', 'bapakibu', 'perkenalkan', 'saya', 'salsabilla', 'putri', 'arista', 'member', 'mari', 'belajar', 'bersama', 'microsoft', 'msib', 'angkatan', 'kampus', 'merdeka', 'izin', 'bertanya', 'terkait', 'sertifikat', 'maribelajar', 'angkatan', 'tidak', 'bisa', 'diakses', 'lalu', 'bagaiamana', 'cara', 'untuk', 'download', 'sertifikatnya', 'bapakibu', 'terimakasih']","['halo', 'selamat', 'sore', 'bapakibu', 'perkenalkan', 'saya', 'salsabilla', 'putri', 'arista', 'member', 'mari', 'belajar', 'bersama', 'microsoft', 'msib', 'angkatan', 'kampus', 'merdeka', 'izin', 'bertanya', 'terkait', 'sertifikat', 'maribelajar', 'angkatan', 'tidak', 'bisa', 'diakses', 'lalu', 'bagaiamana', 'cara', 'untuk', 'download', 'sertifikatnya', 'bapakibu', 'terimakasih']","['halo', 'selamat', 'sore', 'bapakibu', 'perkenalkan', 'salsabilla', 'putri', 'arista', 'member', 'mari', 'belajar', 'microsoft', 'msib', 'angkatan', 'kampus', 'merdeka', 'izin', 'terkait', 'sertifikat', 'maribelajar', 'angkatan', 'diakses', 'bagaiamana', 'download', 'sertifikatnya', 'bapakibu', 'terimakasih']"
248,@salsabillaaristaa cek Dm kami ya😉,@salsabillaaristaa cek dm kami ya😉,cek dm kami ya,"['cek', 'dm', 'kami', 'ya']","['cek', 'pesan', 'kami', 'ya']","['cek', 'pesan']"
249,Saya sudah daftar tapi tidak dapat email untuk melakukan test kak,saya sudah daftar tapi tidak dapat email untuk melakukan test kak,saya sudah daftar tapi tidak dapat email untuk melakukan test kak,"['saya', 'sudah', 'daftar', 'tapi', 'tidak', 'dapat', 'email', 'untuk', 'melakukan', 'test', 'kak']","['saya', 'sudah', 'daftar', 'tapi', 'tidak', 'dapat', 'email', 'untuk', 'melakukan', 'test', 'kakak']","['daftar', 'email', 'test', 'kakak']"
250,"@sayarevanza_ hallo kak mohon cek email berkala ya, saat ini kami masih dalam tahap proses seleksi berkas 😉","@sayarevanza_ hallo kak mohon cek email berkala ya, saat ini kami masih dalam tahap proses seleksi berkas 😉",hallo kak mohon cek email berkala ya saat ini kami masih dalam tahap proses seleksi berkas,"['hallo', 'kak', 'mohon', 'cek', 'email', 'berkala', 'ya', 'saat', 'ini', 'kami', 'masih', 'dalam', 'tahap', 'proses', 'seleksi', 'berkas']","['hallo', 'kakak', 'mohon', 'cek', 'email', 'berkala', 'ya', 'saat', 'ini', 'kami', 'masih', 'dalam', 'tahap', 'proses', 'seleksi', 'berkas']","['hallo', 'kakak', 'mohon', 'cek', 'email', 'berkala', 'tahap', 'proses', 'seleksi', 'berkas']"
251,@maribelajar_id saya bach2 ikut intteligence cloud kalau misal nya mau ikut tentang cloud lagi saya ambil program yang mana yya kak soal nya beda program kak,@maribelajar_id saya bach2 ikut intteligence cloud kalau misal nya mau ikut tentang cloud lagi saya ambil program yang mana yya kak soal nya beda program kak,saya bach ikut intteligence cloud kalau misal nya mau ikut tentang cloud lagi saya ambil program yang mana yya kak soal nya beda program kak,"['saya', 'bach', 'ikut', 'intteligence', 'cloud', 'kalau', 'misal', 'nya', 'mau', 'ikut', 'tentang', 'cloud', 'lagi', 'saya', 'ambil', 'program', 'yang', 'mana', 'yya', 'kak', 'soal', 'nya', 'beda', 'program', 'kak']","['saya', 'bach', 'ikut', 'intteligence', 'cloud', 'kalau', 'misal', 'nya', 'mau', 'ikut', 'tentang', 'cloud', 'lagi', 'saya', 'ambil', 'program', 'yang', 'mana', 'yya', 'kakak', 'soal', 'nya', 'beda', 'program', 'kakak']","['bach', 'intteligence', 'cloud', 'cloud', 'ambil', 'program', 'yya', 'kakak', 'beda', 'program', 'kakak']"
252,d4 bisa ikut ga ya min?,d4 bisa ikut ga ya min?, bisa ikut ga ya min,"['bisa', 'ikut', 'ga', 'ya', 'min']","['bisa', 'ikut', 'tidak', 'ya', 'min']",['min']
253,"Kak saya sudah mendaftar 4 hari yang lalu, tapi statusnya masih ""sudah daftar"" kak","kak saya sudah mendaftar 4 hari yang lalu, tapi statusnya masih ""sudah daftar"" kak",kak saya sudah mendaftar hari yang lalu tapi statusnya masih sudah daftar kak,"['kak', 'saya', 'sudah', 'mendaftar', 'hari', 'yang', 'lalu', 'tapi', 'statusnya', 'masih', 'sudah', 'daftar', 'kak']","['kakak', 'saya', 'sudah', 'mendaftar', 'hari', 'yang', 'lalu', 'tapi', 'statusnya', 'masih', 'sudah', 'daftar', 'kakak']","['kakak', 'mendaftar', 'statusnya', 'daftar', 'kakak']"
254,"@maribelajar_id admin, link untuk pre test saya untuk MSIB cycle 3 tidak bisa dibuka, apakah bisa minta link baru?","@maribelajar_id admin, link untuk pre test saya untuk msib cycle 3 tidak bisa dibuka, apakah bisa minta link baru?",admin link untuk pre test saya untuk msib cycle tidak bisa dibuka apakah bisa minta link baru,"['admin', 'link', 'untuk', 'pre', 'test', 'saya', 'untuk', 'msib', 'cycle', 'tidak', 'bisa', 'dibuka', 'apakah', 'bisa', 'minta', 'link', 'baru']","['admin', 'link', 'untuk', 'pre', 'test', 'saya', 'untuk', 'msib', 'cycle', 'tidak', 'bisa', 'dibuka', 'apakah', 'bisa', 'minta', 'link', 'baru']","['admin', 'link', 'pre', 'test', 'msib', 'cycle', 'dibuka', 'link']"
255,https://go.maribelajar.org/daftar-MSIB,https://go.maribelajar.org/daftar-msib,,[],[],[]
256,Untuk jadwal hariannya bisa di lihat dimana ya min,untuk jadwal hariannya bisa di lihat dimana ya min,untuk jadwal hariannya bisa di lihat dimana ya min,"['untuk', 'jadwal', 'hariannya', 'bisa', 'di', 'lihat', 'dimana', 'ya', 'min']","['untuk', 'jadwal', 'hariannya', 'bisa', 'di', 'lihat', 'dimana', 'ya', 'min']","['jadwal', 'hariannya', 'lihat', 'dimana', 'min']"
257,jadwal kelasnya pagi/malam ya min? @maribelajar_id,jadwal kelasnya pagi/malam ya min? @maribelajar_id,jadwal kelasnya pagimalam ya min,"['jadwal', 'kelasnya', 'pagimalam', 'ya', 'min']","['jadwal', 'kelasnya', 'pagimalam', 'ya', 'min']","['jadwal', 'kelasnya', 'pagimalam', 'min']"
258,Lagi nunggu msib @maribelajar_id min,lagi nunggu msib @maribelajar_id min,lagi nunggu msib min,"['lagi', 'nunggu', 'msib', 'min']","['lagi', 'nunggu', 'msib', 'min']","['nunggu', 'msib', 'min']"
259,@dimediain tunggu informasi selanjutnya ☺️,@dimediain tunggu informasi selanjutnya ☺️,tunggu informasi selanjutnya,"['tunggu', 'informasi', 'selanjutnya']","['tunggu', 'informasi', 'selanjutnya']","['tunggu', 'informasi']"
260,@maribelajar_id  waww tingkyuu min,@maribelajar_id  waww tingkyuu min,waww tingkyuu min,"['waww', 'tingkyuu', 'min']","['waww', 'tingkyuu', 'min']","['waww', 'tingkyuu', 'min']"
261,Maribelajar buka studi independen lagi ga min? Nunggu bgt nih buat SI nya. Soalnya udh tgl segini blm buka track yg aku harepin 🥹 @maribelajar_id,maribelajar buka studi independen lagi ga min? nunggu bgt nih buat si nya. soalnya udh tgl segini blm buka track yg aku harepin 🥹 @maribelajar_id,maribelajar buka studi independen lagi ga min nunggu bgt nih buat si nya soalnya udh tgl segini blm buka track yg aku harepin,"['maribelajar', 'buka', 'studi', 'independen', 'lagi', 'ga', 'min', 'nunggu', 'bgt', 'nih', 'buat', 'si', 'nya', 'soalnya', 'udh', 'tgl', 'segini', 'blm', 'buka', 'track', 'yg', 'aku', 'harepin']","['maribelajar', 'buka', 'studi', 'independen', 'lagi', 'tidak', 'min', 'nunggu', 'banget', 'nih', 'buat', 'si', 'nya', 'soalnya', 'sudah', 'tanggal', 'begini', 'belum', 'buka', 'track', 'yang', 'aku', 'harepin']","['maribelajar', 'buka', 'studi', 'independen', 'min', 'nunggu', 'banget', 'tanggal', 'buka', 'track', 'harepin']"
262,@rahmaapriliaani bner bgt😢,@rahmaapriliaani bner bgt😢,bner bgt,"['bner', 'bgt']","['benar', 'banget']",['banget']
263,Cek DM kak,cek dm kak,cek dm kak,"['cek', 'dm', 'kak']","['cek', 'pesan', 'kakak']","['cek', 'pesan', 'kakak']"
264,"@rahmaapriliaani hallo kak, kami sudah buka pendaftaran 🥳 studi Independen cycle 3!! Jangan lupa daftar, sampai berjumpa dikelas","@rahmaapriliaani hallo kak, kami sudah buka pendaftaran 🥳 studi independen cycle 3!! jangan lupa daftar, sampai berjumpa dikelas",hallo kak kami sudah buka pendaftaran studi independen cycle jangan lupa daftar sampai berjumpa dikelas,"['hallo', 'kak', 'kami', 'sudah', 'buka', 'pendaftaran', 'studi', 'independen', 'cycle', 'jangan', 'lupa', 'daftar', 'sampai', 'berjumpa', 'dikelas']","['hallo', 'kakak', 'kami', 'sudah', 'buka', 'pendaftaran', 'studi', 'independen', 'cycle', 'jangan', 'lupa', 'daftar', 'sampai', 'berjumpa', 'dikelas']","['hallo', 'kakak', 'buka', 'pendaftaran', 'studi', 'independen', 'cycle', 'lupa', 'daftar', 'berjumpa', 'dikelas']"
265,@siddiqindrasyahrul done ka 👍,@siddiqindrasyahrul done ka 👍,done ka,"['done', 'ka']","['done', 'kakak']","['done', 'kakak']"
266,Min kok komennya dilimit min @ vibicloud,min kok komennya dilimit min @ vibicloud,min kok komennya dilimit min vibicloud,"['min', 'kok', 'komennya', 'dilimit', 'min', 'vibicloud']","['min', 'kok', 'komennya', 'dilimit', 'min', 'vibicloud']","['min', 'komennya', 'dilimit', 'min', 'vibicloud']"
267,Pertamax pertamaxx,pertamax pertamaxx,pertamax pertamaxx,"['pertamax', 'pertamaxx']","['pertamax', 'pertamaxx']","['pertamax', 'pertamaxx']"
268,Mau tanya career maribelajar apakah itu untuk S1 ?,mau tanya career maribelajar apakah itu untuk s1 ?,mau tanya career maribelajar apakah itu untuk ,"['mau', 'tanya', 'career', 'maribelajar', 'apakah', 'itu', 'untuk']","['mau', 'tanya', 'career', 'maribelajar', 'apakah', 'itu', 'untuk']","['career', 'maribelajar']"
269,"@anonimusi_id tersedia dari beberapa jenjang pendidikan kak, tidak hanya dari S1 😉","@anonimusi_id tersedia dari beberapa jenjang pendidikan kak, tidak hanya dari s1 😉",tersedia dari beberapa jenjang pendidikan kak tidak hanya dari ,"['tersedia', 'dari', 'beberapa', 'jenjang', 'pendidikan', 'kak', 'tidak', 'hanya', 'dari']","['tersedia', 'dari', 'beberapa', 'jenjang', 'pendidikan', 'kakak', 'tidak', 'hanya', 'dari']","['tersedia', 'jenjang', 'pendidikan', 'kakak']"
270,@maribelajar_id  jadi bisa gunakan ijazah sma ya untuk daftar?,@maribelajar_id  jadi bisa gunakan ijazah sma ya untuk daftar?,jadi bisa gunakan ijazah sma ya untuk daftar,"['jadi', 'bisa', 'gunakan', 'ijazah', 'sma', 'ya', 'untuk', 'daftar']","['jadi', 'bisa', 'gunakan', 'ijazah', 'sama', 'ya', 'untuk', 'daftar']","['ijazah', 'daftar']"
271,"wahh mantap, jangan lupa kunjungi profil kami yaa😍🔥","wahh mantap, jangan lupa kunjungi profil kami yaa😍🔥",wahh mantap jangan lupa kunjungi profil kami yaa,"['wahh', 'mantap', 'jangan', 'lupa', 'kunjungi', 'profil', 'kami', 'yaa']","['wahh', 'mantap', 'jangan', 'lupa', 'kunjungi', 'profil', 'kami', 'iya']","['wahh', 'mantap', 'lupa', 'kunjungi', 'profil', 'iya']"
272,"Halo kak admin, klo yang udh daftar di bulan april harus daftar lagi kah atau gimana","halo kak admin, klo yang udh daftar di bulan april harus daftar lagi kah atau gimana",halo kak admin klo yang udh daftar di bulan april harus daftar lagi kah atau gimana,"['halo', 'kak', 'admin', 'klo', 'yang', 'udh', 'daftar', 'di', 'bulan', 'april', 'harus', 'daftar', 'lagi', 'kah', 'atau', 'gimana']","['halo', 'kakak', 'admin', 'klo', 'yang', 'sudah', 'daftar', 'di', 'bulan', 'april', 'harus', 'daftar', 'lagi', 'kah', 'atau', 'bagaimana']","['halo', 'kakak', 'admin', 'daftar', 'april', 'daftar', 'kah']"
273,Halo kak. Yang sebelumnya dapat email dan diminta menunggu itu gimana ya kak?,halo kak. yang sebelumnya dapat email dan diminta menunggu itu gimana ya kak?,halo kak yang sebelumnya dapat email dan diminta menunggu itu gimana ya kak,"['halo', 'kak', 'yang', 'sebelumnya', 'dapat', 'email', 'dan', 'diminta', 'menunggu', 'itu', 'gimana', 'ya', 'kak']","['halo', 'kakak', 'yang', 'sebelumnya', 'dapat', 'email', 'dan', 'diminta', 'menunggu', 'itu', 'bagaimana', 'ya', 'kakak']","['halo', 'kakak', 'email', 'menunggu', 'kakak']"
274,Hallo kak @agil.anggini19 dan @hadygunawan16 jika sudah mendaftar gelombang 1 tidak perlu mendaftar kembali. Dan cek email secara berkala untuk informasi pembagian kelas 😉,hallo kak @agil.anggini19 dan @hadygunawan16 jika sudah mendaftar gelombang 1 tidak perlu mendaftar kembali. dan cek email secara berkala untuk informasi pembagian kelas 😉,hallo kak dan jika sudah mendaftar gelombang tidak perlu mendaftar kembali dan cek email secara berkala untuk informasi pembagian kelas,"['hallo', 'kak', 'dan', 'jika', 'sudah', 'mendaftar', 'gelombang', 'tidak', 'perlu', 'mendaftar', 'kembali', 'dan', 'cek', 'email', 'secara', 'berkala', 'untuk', 'informasi', 'pembagian', 'kelas']","['hallo', 'kakak', 'dan', 'jika', 'sudah', 'mendaftar', 'gelombang', 'tidak', 'perlu', 'mendaftar', 'kembali', 'dan', 'cek', 'email', 'secara', 'berkala', 'untuk', 'informasi', 'pembagian', 'kelas']","['hallo', 'kakak', 'mendaftar', 'gelombang', 'mendaftar', 'cek', 'email', 'berkala', 'informasi', 'pembagian', 'kelas']"
275,"@maribelajar_id baik, kak. Terima kasih kak","@maribelajar_id baik, kak. terima kasih kak",baik kak terima kasih kak,"['baik', 'kak', 'terima', 'kasih', 'kak']","['baik', 'kakak', 'terima', 'kasih', 'kakak']","['kakak', 'terima', 'kasih', 'kakak']"
276,keren😍🔥,keren😍🔥,keren,['keren'],['keren'],['keren']
277,👍🏻👍🏻,👍🏻👍🏻,,[],[],[]
278,Keren.. selamat untuk para pemenang..🔥,keren.. selamat untuk para pemenang..🔥,keren selamat untuk para pemenang,"['keren', 'selamat', 'untuk', 'para', 'pemenang']","['keren', 'selamat', 'untuk', 'para', 'pemenang']","['keren', 'selamat', 'pemenang']"
279,mantapp😍🔥,mantapp😍🔥,mantapp,['mantapp'],['mantapp'],['mantapp']
280,Terima kasih❤️❤️❤️❤️❤️❤️ Tuhan memberkari🙌🙌🙌🙌,terima kasih❤️❤️❤️❤️❤️❤️ tuhan memberkari🙌🙌🙌🙌,terima kasih tuhan memberkari,"['terima', 'kasih', 'tuhan', 'memberkari']","['terima', 'kasih', 'tuhan', 'memberkari']","['terima', 'kasih', 'tuhan', 'memberkari']"
281,👍🏻👍🏻,👍🏻👍🏻,,[],[],[]
282,Berbayar atau gratis kak?,berbayar atau gratis kak?,berbayar atau gratis kak,"['berbayar', 'atau', 'gratis', 'kak']","['berbayar', 'atau', 'gratis', 'kakak']","['berbayar', 'gratis', 'kakak']"
283,@jrmatheos gratis kak ☺️,@jrmatheos gratis kak ☺️,gratis kak,"['gratis', 'kak']","['gratis', 'kakak']","['gratis', 'kakak']"
284,"Uang saku yang tertulis 1,2juta perbulan berubah menjadi 400ribu ya perbulan?","uang saku yang tertulis 1,2juta perbulan berubah menjadi 400ribu ya perbulan?",uang saku yang tertulis juta perbulan berubah menjadi ribu ya perbulan,"['uang', 'saku', 'yang', 'tertulis', 'juta', 'perbulan', 'berubah', 'menjadi', 'ribu', 'ya', 'perbulan']","['uang', 'saku', 'yang', 'tertulis', 'juta', 'perbulan', 'berubah', 'menjadi', 'ribu', 'ya', 'perbulan']","['uang', 'saku', 'tertulis', 'juta', 'perbulan', 'berubah', 'ribu', 'perbulan']"
285,"@awesomevideos.id hallo kak, jangan lupa untuk ikuti penjelasan terkait uang saku besok yaa 😉","@awesomevideos.id hallo kak, jangan lupa untuk ikuti penjelasan terkait uang saku besok yaa 😉",hallo kak jangan lupa untuk ikuti penjelasan terkait uang saku besok yaa,"['hallo', 'kak', 'jangan', 'lupa', 'untuk', 'ikuti', 'penjelasan', 'terkait', 'uang', 'saku', 'besok', 'yaa']","['hallo', 'kakak', 'jangan', 'lupa', 'untuk', 'ikuti', 'penjelasan', 'terkait', 'uang', 'saku', 'besok', 'iya']","['hallo', 'kakak', 'lupa', 'ikuti', 'penjelasan', 'terkait', 'uang', 'saku', 'besok', 'iya']"
